Neighbors of the atoms after initialization             
Time of initialization: 19/01/2022 01:23:58 CET

Atom number: 0
  Position of Atom: [-1.67959619 -1.67959619 -1.67959619]
  Number of neighbors: 12
  Index           Position           Distance
   8     -1.6796   0.0000  -1.6796   2.06
   9     -0.8398   0.8398  -1.6796   2.06
  10     -1.6796   0.8398  -0.8398   2.38
  11     -0.8398   0.0000  -0.8398   1.19
  12      0.0000   0.0000  -1.6796   1.19
  13      0.8398   0.8398  -1.6796   2.06
  14      0.0000   0.8398  -0.8398   1.68
  15      0.8398   0.0000  -0.8398   1.19
  16     -1.6796  -1.6796   0.0000   2.06
  17     -0.8398  -0.8398   0.0000   1.19
  18     -1.6796  -0.8398   0.8398   2.38
  19     -0.8398  -1.6796   0.8398   2.06
  20      0.0000  -1.6796   0.0000   1.19
  21      0.8398  -0.8398   0.0000   1.19
  22      0.0000  -0.8398   0.8398   1.68
  23      0.8398  -1.6796   0.8398   2.06
  24     -1.6796   0.0000   0.0000   2.06
  25     -0.8398   0.8398   0.0000   2.06
  27     -0.8398   0.0000   0.8398   2.06
  28      0.0000   0.0000   0.0000   1.19
  29      0.8398   0.8398   0.0000   2.06
  30      0.0000   0.8398   0.8398   2.38
  31      0.8398   0.0000   0.8398   2.06

Atom number: 7
  Position of Atom: [ 0.8397981  -1.67959619 -0.8397981 ]
  Number of neighbors: 11
  Index           Position           Distance
  11     -0.8398   0.0000  -0.8398   2.38
  12      0.0000   0.0000  -1.6796   2.06
  15      0.8398   0.0000  -0.8398   1.68
  17     -0.8398  -0.8398   0.0000   2.06
  19     -0.8398  -1.6796   0.8398   2.38
  20      0.0000  -1.6796   0.0000   1.19
  21      0.8398  -0.8398   0.0000   1.19
  22      0.0000  -0.8398   0.8398   2.06
  23      0.8398  -1.6796   0.8398   1.68
  28      0.0000   0.0000   0.0000   2.06
  31      0.8398   0.0000   0.8398   2.38

Atom number: 8
  Position of Atom: [-1.67959619  0.         -1.67959619]
  Number of neighbors: 10
  Index           Position           Distance
   9     -0.8398   0.8398  -1.6796   1.19
  10     -1.6796   0.8398  -0.8398   1.19
  11     -0.8398   0.0000  -0.8398   1.19
  12      0.0000   0.0000  -1.6796   1.68
  14      0.0000   0.8398  -0.8398   2.06
  16     -1.6796  -1.6796   0.0000   2.38
  17     -0.8398  -0.8398   0.0000   2.06
  24     -1.6796   0.0000   0.0000   1.68
  25     -0.8398   0.8398   0.0000   2.06
  28      0.0000   0.0000   0.0000   2.38

Atom number: 9
  Position of Atom: [-0.8397981   0.8397981  -1.67959619]
  Number of neighbors: 11
  Index           Position           Distance
  10     -1.6796   0.8398  -0.8398   1.19
  11     -0.8398   0.0000  -0.8398   1.19
  12      0.0000   0.0000  -1.6796   1.19
  13      0.8398   0.8398  -1.6796   1.68
  14      0.0000   0.8398  -0.8398   1.19
  15      0.8398   0.0000  -0.8398   2.06
  17     -0.8398  -0.8398   0.0000   2.38
  24     -1.6796   0.0000   0.0000   2.06
  25     -0.8398   0.8398   0.0000   1.68
  28      0.0000   0.0000   0.0000   2.06
  29      0.8398   0.8398   0.0000   2.38

Atom number: 10
  Position of Atom: [-1.67959619  0.8397981  -0.8397981 ]
  Number of neighbors: 11
  Index           Position           Distance
  11     -0.8398   0.0000  -0.8398   1.19
  12      0.0000   0.0000  -1.6796   2.06
  14      0.0000   0.8398  -0.8398   1.68
  17     -0.8398  -0.8398   0.0000   2.06
  18     -1.6796  -0.8398   0.8398   2.38
  24     -1.6796   0.0000   0.0000   1.19
  25     -0.8398   0.8398   0.0000   1.19
  26     -1.6796   0.8398   0.8398   1.68
  27     -0.8398   0.0000   0.8398   2.06
  28      0.0000   0.0000   0.0000   2.06
  30      0.0000   0.8398   0.8398   2.38

Atom number: 11
  Position of Atom: [-0.8397981  0.        -0.8397981]
  Number of neighbors: 19
  Index           Position           Distance
  12      0.0000   0.0000  -1.6796   1.19
  13      0.8398   0.8398  -1.6796   2.06
  14      0.0000   0.8398  -0.8398   1.19
  15      0.8398   0.0000  -0.8398   1.68
  16     -1.6796  -1.6796   0.0000   2.06
  17     -0.8398  -0.8398   0.0000   1.19
  18     -1.6796  -0.8398   0.8398   2.06
  19     -0.8398  -1.6796   0.8398   2.38
  20      0.0000  -1.6796   0.0000   2.06
  21      0.8398  -0.8398   0.0000   2.06
  22      0.0000  -0.8398   0.8398   2.06
  24     -1.6796   0.0000   0.0000   1.19
  25     -0.8398   0.8398   0.0000   1.19
  26     -1.6796   0.8398   0.8398   2.06
  27     -0.8398   0.0000   0.8398   1.68
  28      0.0000   0.0000   0.0000   1.19
  29      0.8398   0.8398   0.0000   2.06
  30      0.0000   0.8398   0.8398   2.06
  31      0.8398   0.0000   0.8398   2.38

Atom number: 12
  Position of Atom: [ 0.          0.         -1.67959619]
  Number of neighbors: 10
  Index           Position           Distance
  13      0.8398   0.8398  -1.6796   1.19
  14      0.0000   0.8398  -0.8398   1.19
  15      0.8398   0.0000  -0.8398   1.19
  17     -0.8398  -0.8398   0.0000   2.06
  20      0.0000  -1.6796   0.0000   2.38
  21      0.8398  -0.8398   0.0000   2.06
  24     -1.6796   0.0000   0.0000   2.38
  25     -0.8398   0.8398   0.0000   2.06
  28      0.0000   0.0000   0.0000   1.68
  29      0.8398   0.8398   0.0000   2.06

Atom number: 13
  Position of Atom: [ 0.8397981   0.8397981  -1.67959619]
  Number of neighbors: 6
  Index           Position           Distance
  14      0.0000   0.8398  -0.8398   1.19
  15      0.8398   0.0000  -0.8398   1.19
  21      0.8398  -0.8398   0.0000   2.38
  25     -0.8398   0.8398   0.0000   2.38
  28      0.0000   0.0000   0.0000   2.06
  29      0.8398   0.8398   0.0000   1.68

Atom number: 14
  Position of Atom: [ 0.         0.8397981 -0.8397981]
  Number of neighbors: 12
  Index           Position           Distance
  15      0.8398   0.0000  -0.8398   1.19
  17     -0.8398  -0.8398   0.0000   2.06
  21      0.8398  -0.8398   0.0000   2.06
  22      0.0000  -0.8398   0.8398   2.38
  24     -1.6796   0.0000   0.0000   2.06
  25     -0.8398   0.8398   0.0000   1.19
  26     -1.6796   0.8398   0.8398   2.38
  27     -0.8398   0.0000   0.8398   2.06
  28      0.0000   0.0000   0.0000   1.19
  29      0.8398   0.8398   0.0000   1.19
  30      0.0000   0.8398   0.8398   1.68
  31      0.8398   0.0000   0.8398   2.06

Atom number: 15
  Position of Atom: [ 0.8397981  0.        -0.8397981]
  Number of neighbors: 11
  Index           Position           Distance
  17     -0.8398  -0.8398   0.0000   2.06
  20      0.0000  -1.6796   0.0000   2.06
  21      0.8398  -0.8398   0.0000   1.19
  22      0.0000  -0.8398   0.8398   2.06
  23      0.8398  -1.6796   0.8398   2.38
  25     -0.8398   0.8398   0.0000   2.06
